OID_,Value,Count,hi_maui_co,hi_maui__1,Red,Green,Blue,Opacity,1992_Code,1992_Class,2001_Code,2001_Class,Class_Name,Bivariate_,1992_Color,1992_Col_1,1992_Col_2,2001_Color,2001_Col_1,2001_Col_2,Change_Red,Change_Gre,Change_Blu
,0,9044036.000000000000000,0,0,194,217,222,0,0, ,0, , ,0,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.847058823529000,0.866666666667000,0.756862745098000,0.847058823529000,0.866666666667000
,1,0.000000000000000,1,1,0,0,0,255,1,Unclassified,1,Unclassified,Unclassified to Unclassified,101,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.309803921569000,0.309803921569000,0.254901960784000
,2,0.000000000000000,1,2,194,217,222,255,1,Unclassified,2,High Intensity Developed,Unclassified to High Intensity Developed,102,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.847058823529000,0.866666666667000,0.756862745098000,0.847058823529000,0.866666666667000
,3,0.000000000000000,1,3,168,153,168,255,1,Unclassified,3,Medium Intensity Developed,Unclassified to Medium Intensity Developed,103,0.000000000000000,0.000000000000000,0.000000000000000,0.658823529412000,0.600000000000000,0.658823529412000,0.658823529412000,0.600000000000000,0.658823529412000
,4,0.000000000000000,1,4,143,117,125,255,1,Unclassified,4,Low Intensity Developed,Unclassified to Low Intensity Developed,104,0.000000000000000,0.000000000000000,0.000000000000000,0.556862745098000,0.458823529412000,0.486274509804000,0.556862745098000,0.458823529412000,0.486274509804000
,5,0.000000000000000,1,5,194,204,56,255,1,Unclassified,5,Developed Open Space,Unclassified to Developed Open Space,105,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.800000000000000,0.219607843137000,0.756862745098000,0.800000000000000,0.219607843137000
,6,0.000000000000000,1,6,84,33,0,255,1,Unclassified,6,Cultivated,Unclassified to Cultivated,106,0.000000000000000,0.000000000000000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000
,7,0.000000000000000,1,7,194,161,79,255,1,Unclassified,7,Pasture/Hay,Unclassified to Pasture/Hay,107,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.627450980392000,0.309803921569000,0.756862745098000,0.627450980392000,0.309803921569000
,8,0.000000000000000,1,8,242,186,135,255,1,Unclassified,8,Grassland,Unclassified to Grassland,108,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.729411764706000,0.529411764706000,0.949019607843000,0.729411764706000,0.529411764706000
,9,0.000000000000000,1,9,0,242,0,255,1,Unclassified,9,Deciduous Forest,Unclassified to Deciduous Forest,109,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000
,10,0.000000000000000,1,10,0,59,0,255,1,Unclassified,10,Evergreen Forest,Unclassified to Evergreen Forest,110,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000
,11,0.000000000000000,1,11,8,161,59,255,1,Unclassified,11,Mixed Forest,Unclassified to Mixed Forest,111,0.000000000000000,0.000000000000000,0.000000000000000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000
,12,0.000000000000000,1,12,110,110,0,255,1,Unclassified,12,Scrub/Shrub,Unclassified to Scrub/Shrub,112,0.000000000000000,0.000000000000000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000
,13,0.000000000000000,1,13,0,92,92,255,1,Unclassified,13,Palustrine Forested Wetland,Unclassified to Palustrine Forested Wetland,113,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000
,14,0.000000000000000,1,14,242,110,0,255,1,Unclassified,14,Palustrine Scrub/Shrub Wetland,Unclassified to Palustrine Scrub/Shrub Wetland,114,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000
,15,0.000000000000000,1,15,242,0,242,255,1,Unclassified,15,Palustrine Emergent Wetland,Unclassified to Palustrine Emergent Wetland,115,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000
,16,0.000000000000000,1,16,61,0,61,255,1,Unclassified,16,Estuarine Forested Wetland,Unclassified to Estuarine Forested Wetland,116,0.000000000000000,0.000000000000000,0.000000000000000,0.235294117647000,0.000000000000000,0.235294117647000,0.235294117647000,0.000000000000000,0.235294117647000
,17,0.000000000000000,1,17,110,0,110,255,1,Unclassified,17,Estuarine Scrub/Shrub Wetland,Unclassified to Estuarine Scrub/Shrub Wetland,117,0.000000000000000,0.000000000000000,0.000000000000000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000
,18,0.000000000000000,1,18,176,0,176,255,1,Unclassified,18,Estuarine Emergent Wetland,Unclassified to Estuarine Emergent Wetland,118,0.000000000000000,0.000000000000000,0.000000000000000,0.686274509804000,0.000000000000000,0.686274509804000,0.686274509804000,0.000000000000000,0.686274509804000
,19,0.000000000000000,1,19,0,242,242,255,1,Unclassified,19,Unconsolidated Shore,Unclassified to Unconsolidated Shore,119,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000
,20,0.000000000000000,1,20,242,242,0,255,1,Unclassified,20,Bare Land,Unclassified to Bare Land,120,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000
,21,0.000000000000000,1,21,0,0,120,255,1,Unclassified,21,Water,Unclassified to Water,121,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.466666666667000,0.000000000000000,0.000000000000000,0.466666666667000
,22,0.000000000000000,1,22,0,0,242,255,1,Unclassified,22,Palustrine Aquatic Bed,Unclassified to Palustrine Aquatic Bed,122,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000
,23,0.000000000000000,1,23,102,117,219,255,1,Unclassified,23,Estuarine Aquatic Bed,Unclassified to Estuarine Aquatic Bed,123,0.000000000000000,0.000000000000000,0.000000000000000,0.400000000000000,0.458823529412000,0.858823529412000,0.400000000000000,0.458823529412000,0.858823529412000
,24,0.000000000000000,1,24,250,209,0,255,1,Unclassified,24,Tundra,Unclassified to Tundra,124,0.000000000000000,0.000000000000000,0.000000000000000,0.976470588235000,0.819607843137000,0.000000000000000,0.976470588235000,0.819607843137000,0.000000000000000
,25,0.000000000000000,1,25,171,250,240,255,1,Unclassified,25,Snow/Ice,Unclassified to Snow/Ice,125,0.000000000000000,0.000000000000000,0.000000000000000,0.666666666667000,0.976470588235000,0.937254901961000,0.666666666667000,0.976470588235000,0.937254901961000
,26,0.000000000000000,2,1,0,0,0,255,2,High Intensity Developed,1,Unclassified,High Intensity Developed to Unclassified,201,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
,27,15000.000000000000000,2,2,194,217,222,255,2,High Intensity Developed,2,High Intensity Developed,High Intensity Developed to High Intensity Developed,202,0.949019607843000,0.949019607843000,0.949019607843000,0.756862745098000,0.847058823529000,0.866666666667000,0.309803921569000,0.309803921569000,0.254901960784000
,28,6.000000000000000,2,3,168,153,168,255,2,High Intensity Developed,3,Medium Intensity Developed,High Intensity Developed to Medium Intensity Developed,203,0.949019607843000,0.949019607843000,0.949019607843000,0.658823529412000,0.600000000000000,0.658823529412000,0.658823529412000,0.600000000000000,0.658823529412000
,29,2.000000000000000,2,4,143,117,125,255,2,High Intensity Developed,4,Low Intensity Developed,High Intensity Developed to Low Intensity Developed,204,0.949019607843000,0.949019607843000,0.949019607843000,0.556862745098000,0.458823529412000,0.486274509804000,0.556862745098000,0.458823529412000,0.486274509804000
,30,2.000000000000000,2,5,194,204,56,255,2,High Intensity Developed,5,Developed Open Space,High Intensity Developed to Developed Open Space,205,0.949019607843000,0.949019607843000,0.949019607843000,0.756862745098000,0.800000000000000,0.219607843137000,0.756862745098000,0.800000000000000,0.219607843137000
,31,0.000000000000000,2,6,84,33,0,255,2,High Intensity Developed,6,Cultivated,High Intensity Developed to Cultivated,206,0.949019607843000,0.949019607843000,0.949019607843000,0.329411764706000,0.125490196078000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000
,32,0.000000000000000,2,7,194,161,79,255,2,High Intensity Developed,7,Pasture/Hay,High Intensity Developed to Pasture/Hay,207,0.949019607843000,0.949019607843000,0.949019607843000,0.756862745098000,0.627450980392000,0.309803921569000,0.756862745098000,0.627450980392000,0.309803921569000
,33,0.000000000000000,2,8,242,186,135,255,2,High Intensity Developed,8,Grassland,High Intensity Developed to Grassland,208,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.729411764706000,0.529411764706000,0.949019607843000,0.729411764706000,0.529411764706000
,34,0.000000000000000,2,9,0,242,0,255,2,High Intensity Developed,9,Deciduous Forest,High Intensity Developed to Deciduous Forest,209,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000
,35,1.000000000000000,2,10,0,59,0,255,2,High Intensity Developed,10,Evergreen Forest,High Intensity Developed to Evergreen Forest,210,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000
,36,0.000000000000000,2,11,8,161,59,255,2,High Intensity Developed,11,Mixed Forest,High Intensity Developed to Mixed Forest,211,0.949019607843000,0.949019607843000,0.949019607843000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000
,37,0.000000000000000,2,12,110,110,0,255,2,High Intensity Developed,12,Scrub/Shrub,High Intensity Developed to Scrub/Shrub,212,0.949019607843000,0.949019607843000,0.949019607843000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000
,38,0.000000000000000,2,13,0,92,92,255,2,High Intensity Developed,13,Palustrine Forested Wetland,High Intensity Developed to Palustrine Forested Wetland,213,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000
,39,0.000000000000000,2,14,242,110,0,255,2,High Intensity Developed,14,Palustrine Scrub/Shrub Wetland,High Intensity Developed to Palustrine Scrub/Shrub Wetland,214,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000
,40,0.000000000000000,2,15,242,0,242,255,2,High Intensity Developed,15,Palustrine Emergent Wetland,High Intensity Developed to Palustrine Emergent Wetland,215,0.949019607843000,0.949019607843000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000
