OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name,Bivariate_,2001_Color,2001_Col_1,2001_Col_2,2005_Color,2005_Col_1,2005_Col_2,Change_Red,Change_Gre,Change_Blu
,0,0.000000000000000,0.760000000000000,0.850000000000000,0.870000000000000,0.000000000000000,0, ,0, , ,0,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.847058823529000,0.866666666667000,0.756862745098000,0.847058823529000,0.866666666667000
,1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1,Unclassified,1,Unclassified,Unclassified to Unclassified,101,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.309803921569000,0.309803921569000,0.254901960784000
,2,0.000000000000000,0.760000000000000,0.850000000000000,0.870000000000000,1.000000000000000,1,Unclassified,2,High Intensity Developed,Unclassified to High Intensity Developed,102,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.847058823529000,0.866666666667000,0.756862745098000,0.847058823529000,0.866666666667000
,3,0.000000000000000,0.660000000000000,0.600000000000000,0.660000000000000,1.000000000000000,1,Unclassified,3,Medium Intensity Developed,Unclassified to Medium Intensity Developed,103,0.000000000000000,0.000000000000000,0.000000000000000,0.658823529412000,0.600000000000000,0.658823529412000,0.658823529412000,0.600000000000000,0.658823529412000
,4,0.000000000000000,0.560000000000000,0.460000000000000,0.490000000000000,1.000000000000000,1,Unclassified,4,Low Intensity Developed,Unclassified to Low Intensity Developed,104,0.000000000000000,0.000000000000000,0.000000000000000,0.556862745098000,0.458823529412000,0.486274509804000,0.556862745098000,0.458823529412000,0.486274509804000
,5,0.000000000000000,0.760000000000000,0.800000000000000,0.220000000000000,1.000000000000000,1,Unclassified,5,Developed Open Space,Unclassified to Developed Open Space,105,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.800000000000000,0.219607843137000,0.756862745098000,0.800000000000000,0.219607843137000
,6,0.000000000000000,0.330000000000000,0.130000000000000,0.000000000000000,1.000000000000000,1,Unclassified,6,Cultivated,Unclassified to Cultivated,106,0.000000000000000,0.000000000000000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000
,7,0.000000000000000,0.760000000000000,0.630000000000000,0.310000000000000,1.000000000000000,1,Unclassified,7,Pasture/Hay,Unclassified to Pasture/Hay,107,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.627450980392000,0.309803921569000,0.756862745098000,0.627450980392000,0.309803921569000
,8,0.000000000000000,0.950000000000000,0.730000000000000,0.530000000000000,1.000000000000000,1,Unclassified,8,Grassland,Unclassified to Grassland,108,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.729411764706000,0.529411764706000,0.949019607843000,0.729411764706000,0.529411764706000
,9,0.000000000000000,0.000000000000000,0.950000000000000,0.000000000000000,1.000000000000000,1,Unclassified,9,Deciduous Forest,Unclassified to Deciduous Forest,109,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000
,10,0.000000000000000,0.000000000000000,0.230000000000000,0.000000000000000,1.000000000000000,1,Unclassified,10,Evergreen Forest,Unclassified to Evergreen Forest,110,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000
,11,0.000000000000000,0.030000000000000,0.630000000000000,0.230000000000000,1.000000000000000,1,Unclassified,11,Mixed Forest,Unclassified to Mixed Forest,111,0.000000000000000,0.000000000000000,0.000000000000000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000
,12,0.000000000000000,0.430000000000000,0.430000000000000,0.000000000000000,1.000000000000000,1,Unclassified,12,Scrub/Shrub,Unclassified to Scrub/Shrub,112,0.000000000000000,0.000000000000000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000
,13,0.000000000000000,0.000000000000000,0.360000000000000,0.360000000000000,1.000000000000000,1,Unclassified,13,Palustrine Forested Wetland,Unclassified to Palustrine Forested Wetland,113,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000
,14,0.000000000000000,0.950000000000000,0.430000000000000,0.000000000000000,1.000000000000000,1,Unclassified,14,Palustrine Scrub/Shrub Wetland,Unclassified to Palustrine Scrub/Shrub Wetland,114,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000
