Island,Class #,Full C-CAP Class Scheme,2005,Loss,Gain,2010,Net Change
Maui,1,Unclassified,0,0,0,0,0
Maui,2,Impervious Surface,21.22850123,-0.023896343,2.876730476,24.08133536,2.852834133
Maui,3,N/A,0,0,0,0,0
Maui,4,N/A,0,0,0,0,0
Maui,5,Developed Open Space,19.84373652,-2.281390181,2.542884446,20.10523078,0.261494265
Maui,6,Cultivated,85.82856876,-16.66384163,0.973505201,70.13823233,-15.69033643
Maui,7,Pasture/Hay,46.39783073,-1.070696264,0.376481376,45.70361584,-0.694214888
Maui,8,Grassland,63.00965862,-2.130842109,16.04042174,76.91923825,13.90957963
Maui,9,Deciduous Forest,0,0,0,0,0
Maui,10,Evergreen Forest,162.5200189,-2.495612164,1.061987276,161.086394,-1.433624888
Maui,11,Mixed Forest,0,0,0,0,0
Maui,12,Scrub/Shrub,189.8885325,-4.644105765,5.461898883,190.7063256,0.817793118
Maui,13,Palustrine Forested Wetland,81.40507883,-0.16742118,0.011740232,81.24939788,-0.155680948
Maui,14,Palustrine Scrub/Shrub Wetland,18.10319541,-0.018630029,0.129634046,18.21419943,0.111004016
Maui,15,Palustrine Emergent Wetland,1.25055822,-0.062528578,0.103854017,1.291883659,0.041325439
Maui,16,Estuarine Forested Wetland,0.00126098,-0.00126098,0,0,-0.00126098
Maui,17,Estuarine Scrub/Shrub Wetland,0,0,0,0,0
Maui,18,Estuarine Emergent Wetland,0,0,0,0,0
Maui,19,Unconsolidated Shore,0.247610145,-0.000131213,0.465928645,0.713407577,0.465797432
Maui,20,Barren Land,37.38752177,-1.84643004,1.768763034,37.30985476,-0.077667006
Maui,21,Open Water,25.95079218,-0.517631034,0.109193721,25.54235486,-0.408437313
Maui,22,Palustrine Aquatic Bed,0.001196485,-0.001196485,0.002590902,0.002590902,0.001394417
Maui,23,Estuarine Aquatic Bed,0,0,0,0,0
Maui,24,Tundra,0,0,0,0,0
Maui,25,Perennial Ice/Snow,0,0,0,0,0
