Island,Class #,Full C-CAP Class Scheme,2005,Loss,Gain,2010,Net Change
Moloka'i,1,Unclassified,0,0,0,0,0
Moloka'i,2,Impervious Surface,2.617644749,-0.049291628,0.15614353,2.72449665,0.106851902
Moloka'i,3,N/A,0,0,0,0,0
Moloka'i,4,N/A,0,0,0,0,0
Moloka'i,5,Developed Open Space,2.332763426,-0.272271527,0.22336909,2.283860989,-0.048902437
Moloka'i,6,Cultivated,4.817031221,-1.149079382,0.962707924,4.630659763,-0.186371458
Moloka'i,7,Pasture/Hay,18.97549532,-0.707078215,0.096070192,18.3644873,-0.611008023
Moloka'i,8,Grassland,44.14559431,-0.692469088,1.781982193,45.23510742,1.089513105
Moloka'i,9,Deciduous Forest,0,0,0,0,0
Moloka'i,10,Evergreen Forest,65.06424593,-0.270009769,0.119821978,64.91405814,-0.150187791
Moloka'i,11,Mixed Forest,0,0,0,0,0
Moloka'i,12,Scrub/Shrub,100.1063745,-1.659667166,1.664344133,100.1110514,0.004676967
Moloka'i,13,Palustrine Forested Wetland,3.594158954,-0.01679527,0.018352035,3.595715719,0.001556765
Moloka'i,14,Palustrine Scrub/Shrub Wetland,3.261251431,-0.007512503,0.008971414,3.262710342,0.001458911
Moloka'i,15,Palustrine Emergent Wetland,0.704611855,-0.010957402,0.011691305,0.705345758,0.000733904
Moloka'i,16,Estuarine Forested Wetland,0.755462471,-0.018794601,0.008660061,0.745327931,-0.01013454
Moloka'i,17,Estuarine Scrub/Shrub Wetland,0.761347043,-0.011635706,0.045733308,0.795444644,0.034097601
Moloka'i,18,Estuarine Emergent Wetland,0.885643609,-0.018594446,0.034480121,0.901529283,0.015885675
Moloka'i,19,Unconsolidated Shore,0.473498971,-2.89E-05,0.075478639,0.548948698,0.075449728
Moloka'i,20,Barren Land,11.62407959,-0.474444149,0.243956195,11.39359164,-0.230487954
Moloka'i,21,Open Water,33.46662453,-0.119390532,0.025548738,33.37278274,-0.093841794
Moloka'i,22,Palustrine Aquatic Bed,0,0,0.00070944,0.00070944,0.00070944
Moloka'i,23,Estuarine Aquatic Bed,0,0,0,0,0
Moloka'i,24,Tundra,0,0,0,0,0
Moloka'i,25,Perennial Ice/Snow,0,0,0,0,0
