OID_,Value,Count,Red,Green,Blue,Opacity,1992_Code,1992_Class,2001_Code,2001_Class,Class_Name,1992_Color,1992_Col_1,1992_Col_2,2001_Color,2001_Col_1,2001_Col_2,Change_Red,Change_Gre,Change_Blu,Bivariate_
,0,0.000000000000000,193,216,221,0,0, ,0, , ,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.847058823529000,0.866666666667000,0.756862745098000,0.847058823529000,0.866666666667000,0
,1,0.000000000000000,0,0,0,255,1,Unclassified,1,Unclassified,Unclassified to Unclassified,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.309803921569000,0.309803921569000,0.254901960784000,101
,2,0.000000000000000,193,216,221,255,1,Unclassified,2,High Intensity Developed,Unclassified to High Intensity Developed,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.847058823529000,0.866666666667000,0.756862745098000,0.847058823529000,0.866666666667000,102
,3,0.000000000000000,168,153,168,255,1,Unclassified,3,Medium Intensity Developed,Unclassified to Medium Intensity Developed,0.000000000000000,0.000000000000000,0.000000000000000,0.658823529412000,0.600000000000000,0.658823529412000,0.658823529412000,0.600000000000000,0.658823529412000,103
,4,0.000000000000000,142,117,124,255,1,Unclassified,4,Low Intensity Developed,Unclassified to Low Intensity Developed,0.000000000000000,0.000000000000000,0.000000000000000,0.556862745098000,0.458823529412000,0.486274509804000,0.556862745098000,0.458823529412000,0.486274509804000,104
,5,0.000000000000000,193,204,56,255,1,Unclassified,5,Developed Open Space,Unclassified to Developed Open Space,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.800000000000000,0.219607843137000,0.756862745098000,0.800000000000000,0.219607843137000,105
,6,0.000000000000000,84,33,0,255,1,Unclassified,6,Cultivated,Unclassified to Cultivated,0.000000000000000,0.000000000000000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000,0.329411764706000,0.125490196078000,0.000000000000000,106
,7,0.000000000000000,193,160,79,255,1,Unclassified,7,Pasture/Hay,Unclassified to Pasture/Hay,0.000000000000000,0.000000000000000,0.000000000000000,0.756862745098000,0.627450980392000,0.309803921569000,0.756862745098000,0.627450980392000,0.309803921569000,107
,8,0.000000000000000,242,186,135,255,1,Unclassified,8,Grassland,Unclassified to Grassland,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.729411764706000,0.529411764706000,0.949019607843000,0.729411764706000,0.529411764706000,108
,9,0.000000000000000,0,242,0,255,1,Unclassified,9,Deciduous Forest,Unclassified to Deciduous Forest,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,109
,10,0.000000000000000,0,58,0,255,1,Unclassified,10,Evergreen Forest,Unclassified to Evergreen Forest,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,0.000000000000000,0.227450980392000,0.000000000000000,110
,11,0.000000000000000,7,160,58,255,1,Unclassified,11,Mixed Forest,Unclassified to Mixed Forest,0.000000000000000,0.000000000000000,0.000000000000000,0.027450980392200,0.627450980392000,0.227450980392000,0.027450980392200,0.627450980392000,0.227450980392000,111
,12,0.000000000000000,109,109,0,255,1,Unclassified,12,Scrub/Shrub,Unclassified to Scrub/Shrub,0.000000000000000,0.000000000000000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,112
,13,0.000000000000000,0,91,91,255,1,Unclassified,13,Palustrine Forested Wetland,Unclassified to Palustrine Forested Wetland,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.356862745098000,0.356862745098000,0.000000000000000,0.356862745098000,0.356862745098000,113
,14,0.000000000000000,242,109,0,255,1,Unclassified,14,Palustrine Scrub/Shrub Wetland,Unclassified to Palustrine Scrub/Shrub Wetland,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,0.949019607843000,0.427450980392000,0.000000000000000,114
,15,0.000000000000000,242,0,242,255,1,Unclassified,15,Palustrine Emergent Wetland,Unclassified to Palustrine Emergent Wetland,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,115
,16,0.000000000000000,61,0,61,255,1,Unclassified,16,Estuarine Forested Wetland,Unclassified to Estuarine Forested Wetland,0.000000000000000,0.000000000000000,0.000000000000000,0.235294117647000,0.000000000000000,0.235294117647000,0.235294117647000,0.000000000000000,0.235294117647000,116
,17,0.000000000000000,109,0,109,255,1,Unclassified,17,Estuarine Scrub/Shrub Wetland,Unclassified to Estuarine Scrub/Shrub Wetland,0.000000000000000,0.000000000000000,0.000000000000000,0.427450980392000,0.000000000000000,0.427450980392000,0.427450980392000,0.000000000000000,0.427450980392000,117
,18,0.000000000000000,175,0,175,255,1,Unclassified,18,Estuarine Emergent Wetland,Unclassified to Estuarine Emergent Wetland,0.000000000000000,0.000000000000000,0.000000000000000,0.686274509804000,0.000000000000000,0.686274509804000,0.686274509804000,0.000000000000000,0.686274509804000,118
,19,0.000000000000000,0,242,242,255,1,Unclassified,19,Unconsolidated Shore,Unclassified to Unconsolidated Shore,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,119
,20,0.000000000000000,242,242,0,255,1,Unclassified,20,Bare Land,Unclassified to Bare Land,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,0.949019607843000,0.949019607843000,0.000000000000000,120
,21,0.000000000000000,0,0,119,255,1,Unclassified,21,Water,Unclassified to Water,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.466666666667000,0.000000000000000,0.000000000000000,0.466666666667000,121
,22,0.000000000000000,0,0,242,255,1,Unclassified,22,Palustrine Aquatic Bed,Unclassified to Palustrine Aquatic Bed,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.949019607843000,0.000000000000000,0.000000000000000,0.949019607843000,122
